,ALE,BRA,CAN,CHL,CHN,COL,ESP,EUA,FRA,IDN,IND,ITA,JPN,KOR,MEX,PER,POL,PRT,TWN,UK,VNM
ALE,0.0,4.5,3.1,2.9,3.9,3.5,9.2,4.5,13.0,1.8,2.5,11.2,2.6,3.4,3.6,2.9,15.5,10.4,3.1,8.2,1.6
BRA,1.0,0.0,1.0,10.2,4.0,5.2,1.9,2.3,0.7,1.4,1.1,0.9,1.4,1.2,2.1,4.7,0.7,3.4,1.1,0.8,1.4
CAN,1.0,2.1,0.0,2.7,1.8,2.4,0.9,15.3,1.2,1.6,0.9,0.6,1.7,1.5,3.3,2.3,0.6,0.7,1.1,2.1,0.6
CHL,0.2,1.2,0.5,0.0,1.6,1.3,0.4,0.7,0.2,0.3,0.2,0.1,0.9,0.6,0.4,2.5,0.2,0.2,0.5,0.2,0.3
CHN,9.1,17.0,11.9,18.3,0.0,19.1,9.1,12.9,7.0,21.2,11.7,8.1,14.0,19.9,17.9,21.7,10.4,5.6,17.5,10.9,30.9
COL,0.2,0.6,0.3,1.4,0.3,0.0,0.5,0.8,0.1,0.1,0.5,0.2,0.1,0.1,0.5,2.0,0.3,0.1,0.1,0.2,0.1
ESP,2.7,1.5,0.7,1.9,0.6,2.1,0.0,1.1,5.7,0.4,0.5,3.4,0.6,0.5,1.1,2.0,2.1,20.4,0.5,3.2,0.3
EUA,10.9,19.9,47.2,22.5,9.1,26.4,8.5,0.0,9.7,7.7,9.5,6.4,13.3,12.5,41.6,26.5,5.7,5.5,12.5,13.7,6.0
FRA,5.6,2.3,1.3,1.5,1.7,1.8,8.1,2.0,0.0,1.3,1.3,6.5,1.1,1.5,1.0,1.0,4.0,7.2,1.2,5.9,0.9
IDN,0.4,0.7,0.5,0.6,3.6,0.6,0.7,0.9,0.3,0.0,3.9,0.5,2.8,2.3,0.6,0.8,0.6,0.3,3.2,0.4,2.6
IND,1.8,2.7,2.3,1.5,1.2,2.1,1.6,4.4,1.6,4.4,0.0,1.5,1.6,2.0,1.1,2.2,1.3,1.2,2.0,2.7,1.9
ITA,3.7,1.7,1.2,1.0,1.0,1.4,4.4,1.5,5.4,0.5,0.8,0.0,0.8,0.9,1.2,1.1,3.9,3.9,0.9,3.1,0.5
JPN,2.2,2.0,2.2,2.1,5.9,1.6,1.1,3.7,1.3,5.8,2.3,1.2,0.0,5.8,3.0,2.3,1.5,0.9,11.2,2.1,5.7
KOR,1.1,2.2,1.6,1.6,5.0,1.3,0.8,2.8,0.9,3.6,2.3,0.9,2.7,0.0,2.9,1.2,1.8,0.7,5.4,1.3,10.9
MEX,0.5,1.4,3.2,2.0,0.8,3.3,1.1,7.0,0.5,0.3,0.8,0.3,0.6,1.1,0.0,2.0,0.3,0.3,0.5,0.5,0.5
PER,0.2,0.5,0.3,1.9,1.1,2.1,0.4,0.3,0.1,0.2,0.2,0.1,0.5,0.4,0.3,0.0,0.1,0.1,0.3,0.2,0.2
POL,4.1,0.4,0.4,0.3,0.3,0.3,1.4,0.5,2.2,0.2,0.3,1.9,0.2,0.3,0.4,0.3,0.0,1.4,0.2,1.9,0.2
PRT,0.5,0.5,0.2,0.2,0.1,0.2,2.4,0.2,0.9,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.3,0.0,0.1,0.7,0.1
TWN,0.7,0.8,1.0,0.6,4.8,0.8,0.5,1.8,0.5,1.4,0.8,0.5,1.9,2.3,2.1,0.7,0.6,0.5,0.0,0.7,4.7
UK,6.1,3.9,2.5,1.6,1.6,2.4,4.7,5.0,6.9,1.4,2.4,3.3,1.9,1.9,1.2,1.5,3.7,4.0,1.5,0.0,0.8
VNM,0.3,0.5,0.6,0.5,1.6,0.6,0.4,1.2,0.3,1.1,0.5,0.4,1.0,1.6,0.9,0.5,0.4,0.3,1.2,0.5,0.0
